symbol,entry_time,entry_price,side,sl,tp,prob_up,prob_down,adx,atr_ratio,exit_time,exit_price,pnl
BTCUSDT,2025-08-19 10:00:00,115347.6,SHORT,116179.10352723197,113684.59294553609,0.20874754817916807,0.668669780620369,21.123900963931305,0.004805784297387211,2025-08-19 16:00:00,113338.9,2008.7000000000116
BTCUSDT,2025-08-19 17:00:00,114429.2,SHORT,115359.56813083762,112568.46373832475,0.19073009004566754,0.7208032945419791,26.36518579196038,0.005466653568562698,2025-08-21 16:00:00,112350.8,2078.399999999994
BTCUSDT,2025-08-21 17:00:00,113046.6,SHORT,113925.67649531979,111288.44700936046,0.22238237932035368,0.6522120926808784,31.222590825427023,0.005215095023753704,2025-08-22 14:00:00,115744.5,-2697.899999999994
BTCUSDT,2025-08-22 20:00:00,117015.7,SHORT,118189.95959844296,114667.18080311408,0.13936824149719446,0.8028632692793782,34.36873632170192,0.006690040159528152,2025-08-23 14:00:00,114578.0,2437.699999999997
BTCUSDT,2025-08-23 15:00:00,115199.1,SHORT,115930.71255818207,113735.87488363587,0.15824007134728035,0.7111710576366747,21.880001986592077,0.004249491014752224,2025-08-24 19:00:00,112556.4,2642.7000000000116
BTCUSDT,2025-08-24 20:00:00,113867.6371481637,SHORT,114914.51272279178,111773.88599890754,0.19586920762309493,0.6846928042915954,21.75735248411621,0.006190500707397986,2025-08-25 07:00:00,111469.7,2397.9371481637063
BTCUSDT,2025-08-25 08:00:00,112270.20489487842,SHORT,113360.44128046744,110089.73212370038,0.1855801191698649,0.7479264876165681,40.189191255847454,0.006526675206909173,2025-08-25 20:00:00,109501.1,2769.1048948784155
BTCUSDT,2025-08-25 21:00:00,111058.75,SHORT,112381.20809073384,108413.83381853234,0.20649780127076436,0.7225210150117752,42.26411918145526,0.008026609071926583,2025-08-28 04:00:00,112931.2,-1872.449999999997
BTCUSDT,2025-08-28 19:00:00,112641.3,SHORT,113560.26212884173,110803.37574231657,0.21791507689955197,0.6601571447085289,18.868556503170293,0.005476628634661402,2025-08-29 07:00:00,109969.0,2672.300000000003
BTCUSDT,2025-08-29 08:00:00,111070.6,SHORT,111971.15177927575,109269.4964414485,0.18428336277010826,0.725439270183747,25.300584115799445,0.005478823658492361,2025-08-29 13:00:00,109056.4,2014.2000000000116
BTCUSDT,2025-08-29 14:00:00,109793.21320734368,SHORT,110943.53458907612,107492.5704438788,0.14183674987501788,0.8061270266418208,29.533305863249165,0.007090605764484671,2025-08-30 01:00:00,107404.9,2388.3132073436864
BTCUSDT,2025-08-30 02:00:00,108123.18101155336,SHORT,109122.59255157123,106124.3579315176,0.18833951108195734,0.7346592437133053,30.790196692028918,0.006184192251148488,2025-08-31 00:00:00,109339.9,-1216.7189884466352
BTCUSDT,2025-08-31 05:00:00,108926.04999999999,SHORT,109473.95637108895,107830.23725782207,0.26387588357308034,0.5818151674934239,15.226228196520148,0.003360110700769993,2025-09-01 02:00:00,107590.4,1335.6499999999942
BTCUSDT,2025-09-01 03:00:00,108273.65,SHORT,108911.97056317716,106997.00887364567,0.26017263916835176,0.5959839850643627,21.59777128784179,0.00395419625436475,2025-09-01 07:00:00,109390.3,-1116.6500000000087
BTCUSDT,2025-09-01 10:00:00,108680.54794505966,SHORT,109542.897001408,106955.84983236299,0.2170357189603808,0.6572991745473212,23.430127518629714,0.005297317898383226,2025-09-02 02:00:00,110210.1,-1529.5520549403445
BTCUSDT,2025-09-02 12:00:00,109757.32536859161,SHORT,110738.2694557918,107795.43719419124,0.22318947498657668,0.7018235378674599,15.75933229093927,0.00601347246150899,2025-09-02 13:00:00,111113.4,-1356.0746314083808
BTCUSDT,2025-09-04 07:00:00,111187.0,SHORT,111952.33209739158,109656.33580521682,0.22420585768751874,0.6441676618657324,15.92463618355978,0.004620846536376596,2025-09-04 15:00:00,109448.0,1739.0
BTCUSDT,2025-09-04 16:00:00,110190.05,SHORT,110984.07811553717,108601.99376892569,0.24832259607387047,0.6510015617313686,22.111738665273744,0.004839352387987447,2025-09-04 22:00:00,111454.9,-1264.8499999999913
BTCUSDT,2025-09-04 23:00:00,110679.4,SHORT,111578.43801358467,108881.32397283062,0.22190993880644916,0.6428130911607532,21.39927251744047,0.0054152685659943755,2025-09-05 06:00:00,111860.0,-1180.6000000000058
BTCUSDT,2025-09-05 14:00:00,112019.40460175269,SHORT,113113.98800439316,109830.23779647173,0.16500385212917593,0.7818472309918976,34.92142423600474,0.006602184331007317,2025-09-10 12:00:00,113388.0,-1368.5953982473147
BTCUSDT,2025-09-12 15:00:00,115081.43369449287,SHORT,115722.25381636451,113799.79345074958,0.2551510869470524,0.603610495727948,35.15918558546161,0.003712803944392168,2025-09-12 17:00:00,115746.4,-664.9663055071287
BTCUSDT,2025-09-13 16:00:00,115698.62339778618,SHORT,116239.5807266368,114616.70874008496,0.27021690225470674,0.5913072363213662,25.057666520300597,0.003128188525238328,2025-09-15 05:00:00,116474.2,-775.5766022138123
BTCUSDT,2025-09-15 08:00:00,115704.95,SHORT,116440.30042618986,114234.24914762027,0.2735571391514729,0.614754010166717,17.278462062028037,0.004274162510439724,2025-09-16 19:00:00,116758.0,-1053.050000000003
BTCUSDT,2025-09-17 14:00:00,116303.2,SHORT,116960.51411602841,114988.57176794318,0.24857735110135296,0.6430939932289512,19.525591020203866,0.0037921297317147695,2025-09-18 03:00:00,117531.2,-1228.0
BTCUSDT,2025-09-19 02:00:00,117217.94375232949,SHORT,117860.93195638589,115931.96734421671,0.25874921256630223,0.5876493520853352,16.907260914796293,0.0036620352407954002,2025-09-19 14:00:00,115849.7,1368.2437523294939
