symbol,capital_final,trades,accuracy,profit_factor,drawdown,sharpe_ratio,UP,DOWN
BTCUSDT,46377.099999999846,449,45.657015590200444,1.4862611582974397,0.14738189224751705,1.066187529174539,0.5000000000000002,0.5600000000000003
ETHUSDT,12773.619999999984,408,53.67647058823529,1.6335532266759254,0.058715391735263446,1.1933572300337971,0.5000000000000002,0.5600000000000003
BNBUSDT,10868.839999999991,348,52.58620689655172,1.8707033050728545,0.010650265362000729,1.360339969752259,0.5000000000000002,0.5600000000000003
SOLUSDT,10203.500000000002,408,51.9607843137255,1.7268635925277716,0.0017055735028326422,1.4987888447545834,0.5000000000000002,0.5600000000000003
ADAUSDT,10000.404300000022,453,45.033112582781456,1.3590905053734763,8.339744219451935e-06,0.859676703254235,0.5000000000000002,0.5600000000000003
DOGEUSDT,10000.276100000008,393,48.60050890585242,1.9743444965945565,2.0899891548172285e-06,1.4120876461701892,0.5000000000000002,0.5600000000000003
